_total_solve_time = 46.99
cost = 273738

x [*,*]
:         F10         F104         F106        F123         F125        F127 :=
C160   0           0             0          0            0            0
C161   0           0             0          0            0            0
C162   0           0             0          0            0            0
C163   0.220244    0             0          0            0            0
C164   0           0             0          0            0            0
C165   0           0             0          0            0            0
C166   0           0             0          0            0.00948712   0
C167   0           0             0          0            0            0.0667978
C168   0           0             0.249394   0            0            0.0667978
C169   0           0             0          0            0            0
C17    0           0             0          0            0            0
C170   0           0             0          0            0            0
C171   0           0             0          0.101256     0            0
C172   0           0             0          0            0            0.0667978
C173   0           0             0          0            0            0
C174   0           0             0.249394   0            0            0
C175   0           0.000254847   0          0            0            0
C176   0           0             0          0            0            0
C177   0           0             0          0            0            0.0667978
C178   0           0             0          0            0.00948712   0
C179   0.220244    0             0.249394   0            0            0
C18    0           0             0          0            0            0
C180   0           0             0          0            0            0
C181   0           0             0          0            0            0
C182   0           0             0          0            0            0
C183   0.220244    0             0          0            0            0
C184   0           0             0          0            0            0
C185   0           0             0          0            0            0
C186   0           0             0          0            0            0
C187   0.220244    0             0          0            0            0
C188   0           0             0          0            0            0
C189   0           0             0          0            0            0
C19    0           0             0          0            0            0
C190   0           0             0          0            0            0
C191   0           0             0          0            0            0
C192   0           0             0          0            0            0
C193   0           0             0          0.101256     0            0
C194   0           0             0          0            0            0
C195   0           0.000254847   0          0            0            0
C196   0           0             0          0            0            0
C197   0           0.000254847   0          0            0            0
C198   0           0             0          0            0            0
C199   0           0             0          0            0            0
C2     0           0             0.249394   0            0            0
C20    0           0             0          0            0            0
C200   0.220244    0             0          0            0            0
C201   0           0             0          0            0            0
C202   0           0             0          0            0            0.0667978
C203   0           0             0          0.101256     0            0
C204   0.220244    0             0          0            0            0
C205   0           0             0          0            0            0
C206   0.220244    0             0          0            0            0
C207   0           0             0          0            0.00948712   0
C208   0           0             0          0.101256     0            0
C209   0           0             0          0            0            0.0667978
C21    0           0             0          0            0            0
C210   0           0             0.249394   0.101256     0            0
C211   0           0             0          0            0            0
C212   0           0             0          0            0            0
C213   0           0             0          0            0            0
C214   0           0             0          0            0            0
C215   0           0             0          0.101256     0            0
C216   0           0             0          0            0            0
C217   0           0             0          0            0            0
C218   0           0             0          0            0.00948712   0
C219   0           0             0          0            0            0
C22    0           0.000254847   0          0            0            0
C220   0           0             0          0            0            0
C221   0           0             0          0            0            0
C222   0           0             0.249394   0            0            0
C223   0           0             0          0            0            0
C224   0           0             0          0            0            0
C225   0           0             0          0            0            0
C226   0           0             0          0            0            0.0667978
C227   0           0             0          0            0            0
C228   0           0             0          0            0            0
C229   0           0             0.249394   0            0            0
C23    0           0             0          0            0            0
C230   0           0             0          0            0            0
C231   0           0             0          0.101256     0            0
C232   0           0             0          0            0            0
C233   0           0.000254847   0          0            0            0
C234   0           0             0          0            0            0
C235   0           0             0          0            0            0
C236   0           0             0.249394   0            0            0
C237   0           0.000254847   0          0            0            0
C238   0           0.000254847   0          0            0.00948712   0
C239   0           0.000254847   0          0            0            0
C24    0           0             0          0            0            0
C240   0           0.000254847   0          0            0            0
C241   0           0             0          0            0            0
C242   0           0             0          0            0            0
C243   0           0             0          0            0            0
C244   0.220244    0             0          0            0            0
C245   0           0             0          0            0.00948712   0
C246   0           0             0          0            0.00948712   0
C247   0           0             0          0.101256     0            0
C248   0.220244    0             0          0            0            0
C249   0           0             0          0            0            0.0667978
C25    0           0.000254847   0          0            0.00948712   0
C250   0           0.000254847   0          0            0            0
C26    0           0.000254847   0          0            0            0
C27    0           0.000254847   0          0            0            0
C28    0           0             0          0.101256     0            0
C29    0           0             0.249394   0            0            0.0667978
C3     0           0             0          0            0            0
C30    0           0             0.249394   0            0            0
C31    0.220244    0             0          0            0            0
C32    0           0             0          0            0            0
C33    0.220244    0             0          0            0            0
C34    0           0             0          0            0            0
C35    0           0             0          0            0            0
C36    0           0             0          0            0            0.0667978
C37    0           0             0.220816   0            0            0
C38    0           0             0          0            0            0
C39    0           0             0          0            0.00948712   0
C4     0.220244    0             0          0.00990065   0            0
C40    0           0             0          0            0            0
C41    0           0             0          0            0            0
C42    0           0             0          0            0            0
C43    0.220244    0             0          0            0            0
C44    0           0             0.249394   0.101256     0            0
C45    0           0             0          0            0            0
C46    0           0             0          0            0            0
C47    0           0             0          0            0            0.0667978
C48    0           0             0          0.101256     0.00948712   0
C49    0           0             0          0            0            0
C5     0           0.000254847   0          0            0            0
C50    0           0             0          0.101256     0            0
C51    0           0             0          0            0            0
C52    0           0             0          0            0            0
C53    0           0             0          0            0            0
C54    0           0             0          0            0            0
C55    0           0             0          0            0            0
C56    0           0             0          0.101256     0            0
C57    0           0             0          0            0            0
C58    0           0             0          0            0.00948712   0
C59    0           0             0          0            0            0.0667978
C6     0           0             0.249394   0            0            0.0667978
C60    0           0             0          0            0            0
C61    0           0             0          0            0            0
C62    0           0             0          0            0            0
C63    0           0             0.249394   0            0.00948712   0
C64    0           0             0          0.101256     0            0
C65    0           0.000254847   0          0            0            0
C66    0           0             0          0            0            0.0667978
C67    0           0             0          0            0.00948712   0.0667978
C68    0           0             0          0            0            0
C69    0           0             0          0            0            0
C7     0           0             0          0            0.0049625    0
C70    0           0             0.249394   0            0            0
C71    0           0             0          0            0            0
C72    0           0             0          0            0            0
C73    0           0             0          0            0            0
C74    0           0             0          0            0            0
C75    0           0             0          0            0            0
C76    0           0             0          0            0            0
C77    0           0             0          0            0            0
C78    0           0             0          0            0.00948712   0
C79    0           0             0          0            0            0.0667978
C8     0           0             0          0            0            0
C80    0           0             0          0            0            0
C81    0           0             0          0            0            0
C82    0           0             0          0            0            0.0667978
C83    0           0             0          0            0            0
C84    0           0             0          0            0            0
C85    0.220244    0             0          0            0            0
C86    0           0             0          0            0            0
C87    0           0             0          0            0            0
C88    0.0715378   0             0          0            0.00948712   0
C89    0           0             0          0            0            0
C9     0           0             0          0.101256     0            0
C90    0           0             0          0            0            0
C91    0           0             0          0            0            0
C92    0           0             0          0            0            0
C93    0           0             0          0            0            0
C94    0           0             0          0            0            0
C95    0           0             0          0            0            0
C96    0           0             0.249394   0            0            0
C97    0           0             0.249394   0            0.00948712   0
C98    0           0             0          0            0            0
C99    0           0.000254847   0          0            0            0

:         F13         F137         F139        F141         F143       :=
C1     0           0            0            0           0
C10    0           0            0            0           0.227793
C100   0           0            0            0           0
C101   0           0.239489     0            0.101437    0
C102   0           0            0            0           0
C103   0           0            0            0           0
C104   0           0            0            0           0.227793
C105   0           0            0            0.184073    0
C106   0           0            0            0           0
C107   0           0            0            0           0
C108   0           0            0            0           0
C109   0           0            0            0           0
C11    0           0.239489     0            0.184073    0
C110   0           0            0.305868     0           0
C111   0           0            0            0           0
C112   0           0            0            0           0
C113   0.290415    0            0            0           0
C114   0           0.239489     0            0           0
C115   0           0            0            0.184073    0
C116   0           0            0            0           0
C117   0           0            0            0           0
C118   0           0            0            0           0.227793
C119   0           0            0            0           0.227793
C12    0           0            0            0           0
C120   0           0            0            0           0
C121   0           0            0            0           0
C122   0           0            0            0           0
C123   0           0            0            0           0
C124   0           0            0            0           0
C125   0           0            0            0           0
C126   0           0.239489     0            0           0
C127   0           0            0            0           0
C128   0           0.239489     0            0           0
C129   0           0            0            0           0
C13    0           0            0            0           0
C130   0           0            0            0           0
C131   0           0.239489     0            0           0
C132   0           0            0            0           0
C133   0           0            0            0.184073    0
C134   0           0            0.305868     0           0
C135   0.290415    0            0            0           0
C136   0           0            0            0           0
C137   0.290415    0            0            0           0
C138   0           0            0.00475601   0           0
C139   0           0            0            0           0
C14    0           0.239489     0            0           0
C140   0           0            0            0           0
C141   0           0            0            0           0
C142   0           0            0            0           0
C143   0           0            0            0           0
C144   0           0            0            0.184073    0.227793
C145   0           0            0            0           0
C146   0           0            0.305868     0           0
C147   0           0            0            0           0
C148   0           0            0            0           0
C149   0           0            0            0           0
C15    0           0            0            0           0
C150   0           0            0            0           0
C151   0           0            0            0           0
C152   0           0.239489     0.305868     0           0
C153   0           0            0            0           0
C154   0           0            0.305868     0           0
C155   0           0            0            0           0.227448
C156   0.290415    0            0            0           0
C157   0           0.0666188    0.305868     0           0
C158   0           0            0            0           0
C159   0           0            0            0           0
C16    0           0            0            0           0
C160   0.290415    0            0            0           0
C161   0           0            0            0.184073    0
C162   0           0            0            0           0
C163   0           0.239489     0            0           0
C164   0           0            0            0           0
C165   0           0            0            0           0
C166   0.290415    0.181879     0            0           0
C167   0.290415    0.239489     0            0           0
C168   0.290415    0            0            0           0
C169   0           0            0            0           0
C17    0           0            0            0           0
C170   0.290415    0            0            0           0
C171   0           0.239489     0            0           0
C172   0           0            0.305868     0           0
C173   0           0            0            0           0.227793
C174   0           0            0            0           0
C175   0           0            0            0           0.21832
C176   0           0            0            0           0
C177   0.290415    0            0            0           0.227793
C178   0           0            0            0           0
C179   0           0            0            0           0
C18    0           0            0            0           0
C180   0           0            0            0           0
C181   0           0            0            0           0
C182   0           0            0            0           0
C183   0           0            0            0           0
C184   0           0            0            0           0.227793
C185   0           0            0.305868     0           0
C186   0           0            0            0           0.227793
C187   0           0            0            0           0
C188   0           0            0            0           0
C189   0           0.239489     0            0           0
C19    0           0            0            0           0
C190   0           0            0            0           0
C191   0           0            0            0           0
C192   0           0            0            0.184073    0
C193   0           0            0            0           0.227793
C194   0           0            0            0           0
C195   0           0            0            0           0
C196   0           0            0.214344     0           0
C197   0           0.239489     0            0.184073    0
C198   0           0            0            0           0.00693264
C199   0           0            0            0           0
C2     0           0            0            0.184073    0
C20    0           0.239489     0            0           0
C200   0           0            0            0           0
C201   0           0            0            0           0
C202   0           0            0            0           0
C203   0           0            0            0.184073    0
C204   0           0            0            0           0
C205   0           0            0            0.184073    0
C206   0           0            0            0           0
C207   0           0            0            0           0
C208   0           0.239489     0            0           0
C209   0           0            0            0           0
C21    0.290415    0            0            0           0
C210   0           0            0            0           0
C211   0           0            0            0           0
C212   0           0            0            0           0.227793
C213   0           0.0245415    0            0           0
C214   0           0            0            0           0
C215   0           0            0            0.0110713   0
C216   0           0            0            0           0
C217   0           0            0            0           0
C218   0           0            0.305868     0           0
C219   0           0            0            0.184073    0.227793
C22    0           0            0            0           0
C220   0           0            0            0           0
C221   0           0            0            0.184073    0
C222   0           0.239489     0            0           0
C223   0           0            0            0           0
C224   0.290415    0            0            0           0
C225   0           0            0            0           0.227793
C226   0           0            0            0           0
C227   0.290415    0            0            0           0.041133
C228   0           0            0            0           0.227793
C229   0           0            0            0           0
C23    0           0            0            0           0
C230   0           0            0.305868     0           0
C231   0           0.239489     0            0           0
C232   0           0.239489     0            0           0.206039
C233   0           0            0            0           0
C234   0           0            0.237942     0           0
C235   0           0            0.260585     0           0
C236   0           0            0            0           0
C237   0           0            0.305868     0           0
C238   0           0            0            0           0
C239   0           0            0            0           0
C24    0           0            0            0           0
C240   0.290415    0.00240443   0            0           0
C241   0           0            0.305868     0           0
C242   0           0            0            0           0
C243   0           0            0            0           0
C244   0           0            0            0           0.227793
C245   0.290415    0            0            0           0
C246   0.290415    0            0            0.184073    0.227793
C247   0           0            0            0           0
C248   0           0            0            0           0
C249   0           0            0            0           0
C25    0.290415    0            0            0.0907656   0
C250   0.290415    0            0.305868     0           0
C26    0           0            0            0.184073    0
C27    0           0.239489     0            0           0
C28    0           0            0            0           0
C29    0           0            0            0           0
C3     0           0            0            0.184073    0
C30    0           0            0            0           0
C31    0           0            0            0           0
C32    0           0            0            0           0.227793
C33    0           0            0            0           0
C34    0           0            0            0.184073    0
C35    0           0            0.305868     0           0
C36    0           0            0            0           0
C37    0           0            0            0           0
C38    0           0.239489     0            0           0
C39    0           0.239489     0            0           0
C4     0           0            0            0           0
C40    0           0            0.118131     0           0
C41    0           0            0            0           0.227793
C42    0.290415    0            0            0           0
C43    0           0            0.174208     0           0
C44    0           0            0            0           0
C45    0           0            0            0           0
C46    0           0            0            0           0.227793
C47    0           0            0            0           0
C48    0           0            0            0           0
C49    0           0            0            0.184073    0.227793
C5     0           0            0            0           0
C50    0.290415    0            0            0           0
C51    0           0            0.305868     0           0
C52    0.290415    0            0            0           0
C53    0           0            0.305868     0           0
C54    0           0            0            0           0
C55    0           0            0            0           0
C56    0           0            0            0           0
C57    0           0            0.305868     0           0
C58    0           0            0            0.132134    0
C59    0           0            0            0           0
C6     0           0            0            0           0
C60    0.0914489   0            0            0           0
C61    0           0            0            0           0
C62    0           0            0            0           0
C63    0           0            0            0           0
C64    0           0            0            0.184073    0
C65    0           0            0            0.184073    0
C66    0           0            0            0.184073    0
C67    0           0            0            0           0.227793
C68    0           0            0            0           0
C69    0           0            0            0           0
C7     0           0            0            0.184073    0
C70    0           0            0            0           0
C71    0           0            0.305868     0           0
C72    0.290415    0            0            0           0
C73    0.290415    0            0            0           0
C74    0           0.239489     0            0           0
C75    0           0            0.22487      0           0
C76    0           0            0            0.0911694   0.227793
C77    0           0            0            0           0
C78    0           0            0            0           0
C79    0.290415    0            0            0           0
C8     0           0            0            0           0
C80    0           0            0            0           0
C81    0           0            0            0           0
C82    0           0            0            0.184073    0
C83    0           0            0            0           0
C84    0.290415    0            0            0           0
C85    0           0            0.305868     0           0
C86    0           0            0            0           0
C87    0           0            0            0           0.227793
C88    0           0            0            0           0
C89    0           0            0.305868     0           0
C9     0           0            0            0           0
C90    0           0            0.305868     0           0
C91    0           0.239489     0            0           0
C92    0           0            0            0           0
C93    0           0            0            0           0
C94    0           0            0            0           0
C95    0           0            0.305868     0           0
C96    0           0            0            0.184073    0
C97    0           0            0            0           0
C98    0           0            0            0.184073    0.0497908
C99    0           0            0.305868     0.184073    0

:         F144        F146        F153        F154         F157         F159 :=
C1     0            0           0.0774902   0           0            0
C10    0            0           0           0           0            0
C100   0            0           0.0774902   0           0            0
C101   0            0.0371538   0           0           0            0
C102   0            0           0           0           0            0
C103   0.374962     0           0           0.0396759   0.111308     0
C104   0            0           0           0           0            0
C105   0            0           0.0774902   0           0            0
C106   0            0           0           0           0            0
C107   0            0           0           0           0            0
C108   0.374962     0           0           0           0.450717     0
C109   0            0           0           0           0.450717     0
C11    0.374962     0           0           0           0            0.103202
C110   0            0           0           0           0            0
C111   0            0           0           0           0.450717     0
C112   0.111361     0.0371538   0           0           0            0
C113   0            0           0           0           0            0
C114   0            0           0           0.0396759   0            0
C115   0.374962     0           0           0           0            0
C116   0            0           0           0           0            0.240171
C117   0            0.0371538   0           0           0            0
C118   0            0           0.0774902   0           0            0
C119   0            0           0           0           0            0
C12    0            0           0           0.0396759   0            0
C120   0            0           0           0           0            0
C121   0            0.0371538   0           0           0            0
C122   0            0           0           0           0            0.240171
C123   0            0.0371538   0           0           0            0
C124   0            0           0           0           0.450717     0
C125   0.0660122    0           0           0           0            0
C126   0            0           0.0774902   0           0            0
C127   0            0           0.0774902   0           0            0
C128   0            0           0           0           0            0
C129   0            0           0           0           0.432323     0.240171
C13    0            0           0           0           0            0
C130   0            0           0.0774902   0           0            0
C131   0            0.0371538   0           0           0            0
C132   0            0           0           0           0            0.240171
C133   0            0           0           0           0            0.240171
C134   0            0           0           0           0            0
C135   0            0           0           0           0            0
C136   0.221411     0           0           0           0            0
C137   0            0           0           0           0.240446     0
C138   0            0           0           0           0            0.240171
C139   0            0.0371538   0           0.0396759   0.450717     0.05684
C14    0            0           0           0.0396759   0            0
C140   0            0           0           0.0396759   0            0
C141   0.374962     0           0.0434884   0           0            0
C142   0            0           0           0.0396759   0.450717     0
C143   0.256671     0           0           0           0            0
C144   0            0           0.0774902   0           0            0
C145   0            0           0           0           0            0.240171
C146   0            0           0           0           0            0
C147   0.0235098    0           0           0           0            0.240171
C148   0            0           0           0           0            0
C149   0            0           0           0           0            0
C15    0            0           0           0           0            0
C150   0            0           0           0           0            0
C151   0.374962     0           0           0           0            0
C152   0            0           0           0           0.187671     0
C153   0.3671       0           0           0           0            0
C154   0            0           0           0           0            0
C155   0            0           0           0           0            0
C156   0.374962     0           0           0           0            0
C157   0            0           0           0           0            0
C158   0            0           0           0           0            0
C159   0            0           0           0           0            0
C16    0            0           0           0           0.450717     0
C160   0            0           0           0           0            0
C161   0            0           0           0           0            0.240171
C162   0            0           0           0.0396759   0            0
C163   0            0           0.0774902   0           0            0
C164   0            0           0           0           0            0
C165   0            0           0           0           0            0
C166   0            0           0           0           0            0
C167   0            0           0           0           0            0
C168   0            0           0           0           0            0
C169   0            0           0           0           0            0
C17    0            0           0           0           0            0
C170   0            0           0           0           0            0.240171
C171   0            0           0           0           0            0
C172   0            0           0           0           0            0
C173   0            0           0           0           0            0
C174   0            0           0           0           0            0
C175   0            0           0           0           0            0
C176   0.374962     0           0           0           0            0.113775
C177   0            0           0           0           0            0
C178   0            0           0           0           0.450717     0
C179   0            0.0371538   0           0           0            0
C18    0            0           0           0           0            0
C180   0            0.0371538   0           0           0            0
C181   0            0           0           0           0            0.240171
C182   0            0           0           0           0            0
C183   0.374962     0           0.0774902   0           0            0
C184   0            0.0371538   0           0           0            0
C185   0            0           0           0           0            0
C186   0            0.0371538   0           0           0            0
C187   0            0           0           0.0396759   0            0
C188   0            0           0           0           0.450717     0
C189   0.374962     0           0           0           0            0
C19    0            0           0           0           0            0.240171
C190   0            0           0           0           0            0
C191   0            0           0           0.0396759   0            0
C192   0            0.0371538   0           0           0.450717     0
C193   0            0           0           0           0            0
C194   0            0.0371538   0           0.0396759   0            0.170264
C195   0            0           0           0           0.450717     0.103346
C196   0            0           0           0           0            0.240171
C197   0.374962     0           0           0           0            0
C198   0            0           0           0           0.450717     0
C199   0            0           0           0           0            0
C2     0            0.0371538   0           0           0            0
C20    0            0           0           0           0            0
C200   0            0           0           0           0            0
C201   0            0           0           0           0            0
C202   0            0           0           0           0            0
C203   0            0           0           0           0            0
C204   0            0           0.0774902   0           0            0
C205   0            0.0371538   0           0.0396759   0            0
C206   0            0           0           0           0            0
C207   0            0           0           0           0            0.240171
C208   0            0           0.0774902   0           0            0
C209   0            0           0           0           0            0
C21    0            0           0.0774902   0           0            0
C210   0            0           0.0400705   0           0            0
C211   0            0           0           0           0            0
C212   0            0           0           0           0            0
C213   0            0           0           0           0            0
C214   0.374962     0           0           0           0            0
C215   0            0           0           0           0            0
C216   0.374962     0           0           0           0            0
C217   0            0           0           0           0            0
C218   0            0           0           0           0            0
C219   0            0           0           0           0            0
C22    0            0           0           0           0            0
C220   0            0           0.0774902   0           0            0
C221   0.374962     0           0           0           0            0
C222   0            0           0           0           0            0
C223   0.131988     0           0           0           0            0
C224   0.374962     0           0           0           0.131403     0
C225   0            0           0           0           0            0.240171
C226   0            0           0           0           0.450717     0
C227   0            0           0           0.0396759   0            0
C228   0            0           0           0           0            0
C229   0            0.0371538   0           0           0            0.00813014
C23    0.374962     0           0           0           0            0
C230   0            0           0           0           0            0
C231   0            0           0           0           0            0
C232   0            0           0           0.0396759   0            0
C233   0.374962     0           0           0.0396759   0            0
C234   0            0           0           0           0            0
C235   0            0           0           0           0.450717     0
C236   0            0           0           0           0            0
C237   0            0           0           0           0            0.240171
C238   0            0           0           0           0.141746     0
C239   0            0           0           0           0.324271     0
C24    0            0           0           0           0            0
C240   0            0           0           0           0            0
C241   0            0           0           0           0            0
C242   0.374962     0           0.0656521   0           0            0
C243   0            0           0           0           0.450717     0
C244   0            0           0           0           0            0
